# BSM1-style influent (synthesised, not the canonical IWA file).
# Generated by scripts/generate_bsm1_influent.py at repo setup.
# Profile follows Copp 2002 Table 5.1 average composition plus a
# diurnal flow / load pattern. Replace with the official BSM1 file
# for published-EQI comparisons.
# Columns: t,SI,SS,XI,XS,XB_H,XB_A,XP,SO,SNO,SNH,SND,XND,SALK,Q
t,SI,SS,XI,XS,XB_H,XB_A,XP,SO,SNO,SNH,SND,XND,SALK,Q
0,30.1886,71.6233,51.5219,208.501,29.0306,0,0,0,0,32.5242,7.16233,10.9135,7.21385,19009.5
0.0104167,29.8018,72.2715,50.8618,210.388,29.2933,0,0,0,0,32.8185,7.22715,11.0123,7.27914,19181.6
0.0208333,30.9606,76.6124,52.8395,223.025,31.0528,0,0,0,0,34.7897,7.66124,11.6737,7.71635,20333.7
0.03125,30.1574,76.0071,51.4685,221.263,30.8075,0,0,0,0,34.5149,7.60071,11.5815,7.65539,20173
0.0416667,29.1965,74.8059,49.8287,217.766,30.3206,0,0,0,0,33.9694,7.48059,11.3985,7.53441,19854.2
0.0520833,30.5424,79.3965,52.1257,231.129,32.1813,0,0,0,0,36.054,7.93965,12.098,7.99677,21072.6
0.0625,31.956,84.1163,54.5382,244.869,34.0943,0,0,0,0,38.1973,8.41163,12.8171,8.47215,22325.3
0.0729167,31.4206,83.5805,53.6245,243.309,33.8772,0,0,0,0,37.954,8.35805,12.7355,8.41818,22183.1
0.0833333,28.9444,77.6526,49.3984,226.053,31.4744,0,0,0,0,35.2621,7.76526,11.8322,7.82112,20609.8
0.09375,28.1019,75.8892,47.9605,220.92,30.7597,0,0,0,0,34.4614,7.58892,11.5636,7.64352,20141.8
0.104167,29.0651,78.8579,49.6044,229.562,31.963,0,0,0,0,35.8094,7.88579,12.0159,7.94252,20929.7
0.114583,30.062,81.7947,51.3058,238.111,33.1533,0,0,0,0,37.143,8.17947,12.4634,8.23831,21709.1
0.125,26.5125,72.2159,45.2479,210.226,29.2708,0,0,0,0,32.7933,7.22159,11.0038,7.27354,19166.8
0.135417,29.6718,80.7773,50.6399,235.149,32.741,0,0,0,0,36.681,8.07773,12.3084,8.13585,21439.1
0.145833,28.1311,76.4247,48.0105,222.478,30.9767,0,0,0,0,34.7045,7.64247,11.6451,7.69745,20283.9
0.15625,28.9016,78.2466,49.3254,227.782,31.7152,0,0,0,0,35.5318,7.82466,11.9228,7.88095,20767.4
0.166667,29.1836,78.6395,49.8067,228.926,31.8745,0,0,0,0,35.7103,7.86395,11.9826,7.92053,20871.7
0.177083,29.5255,79.1024,50.3903,230.273,32.0621,0,0,0,0,35.9205,7.91024,12.0532,7.96715,20994.6
0.1875,30.6174,81.4813,52.2538,237.199,33.0263,0,0,0,0,37.0007,8.14813,12.4156,8.20675,21626
0.197917,31.5638,83.3802,53.8688,242.726,33.796,0,0,0,0,37.863,8.33802,12.705,8.39801,22130
0.208333,29.8072,78.1183,50.871,227.409,31.6632,0,0,0,0,35.4736,7.81183,11.9032,7.86803,20733.4
0.21875,32.0497,83.3053,54.6981,242.508,33.7656,0,0,0,0,37.829,8.33053,12.6936,8.39046,22110.1
0.229167,29.0022,74.7558,49.4971,217.62,30.3003,0,0,0,0,33.9467,7.47558,11.3908,7.52936,19840.9
0.239583,30.5273,78.0375,52.0999,227.173,31.6305,0,0,0,0,35.4369,7.80375,11.8909,7.85989,20711.9
0.25,31.3552,79.5152,53.5129,231.475,32.2294,0,0,0,0,36.1079,7.95152,12.1161,8.00873,21104.1
0.260417,30.141,75.863,51.4407,220.843,30.7491,0,0,0,0,34.4494,7.5863,11.5596,7.64088,20134.8
0.270833,28.8848,72.2031,49.2966,210.189,29.2656,0,0,0,0,32.7875,7.22031,11.0019,7.27226,19163.4
0.28125,28.6174,71.1028,48.8404,206.986,28.8197,0,0,0,0,32.2878,7.11028,10.8342,7.16144,18871.4
0.291667,29.3134,72.4613,50.0282,210.941,29.3703,0,0,0,0,32.9047,7.24613,11.0412,7.29826,19232
0.302083,30.3303,74.6729,51.7637,217.379,30.2667,0,0,0,0,33.909,7.46729,11.3782,7.52101,19818.9
0.3125,28.4856,69.9289,48.6154,203.569,28.3439,0,0,0,0,31.7548,6.99289,10.6554,7.0432,18559.8
0.322917,29.6862,72.7536,50.6645,211.791,29.4887,0,0,0,0,33.0374,7.27536,11.0858,7.3277,19309.5
0.333333,29.7612,72.9029,50.7924,212.226,29.5493,0,0,0,0,33.1053,7.29029,11.1085,7.34274,19349.2
0.34375,30.8113,75.5305,52.5846,219.875,30.6143,0,0,0,0,34.2984,7.55305,11.5089,7.60738,20046.5
0.354167,30.322,74.4709,51.7495,216.791,30.1848,0,0,0,0,33.8173,7.44709,11.3474,7.50067,19765.3
0.364583,30.5331,75.2106,52.1098,218.944,30.4846,0,0,0,0,34.1532,7.52106,11.4601,7.57516,19961.6
0.375,29.0193,71.7609,49.5262,208.902,29.0864,0,0,0,0,32.5867,7.17609,10.9345,7.22772,19046.1
0.385417,29.8056,74.0536,50.8682,215.576,30.0157,0,0,0,0,33.6278,7.40536,11.2838,7.45863,19654.6
0.395833,31.176,77.8751,53.207,226.7,31.5646,0,0,0,0,35.3631,7.78751,11.8661,7.84353,20668.8
0.40625,32.2401,81.005,55.0232,235.812,32.8332,0,0,0,0,36.7844,8.1005,12.3431,8.15878,21499.5
0.416667,28.1114,71.0651,47.9768,206.876,28.8044,0,0,0,0,32.2707,7.10651,10.8285,7.15764,18861.4
0.427083,32.2709,82.0882,55.0756,238.965,33.2723,0,0,0,0,37.2763,8.20882,12.5081,8.26788,21787
0.4375,32.0188,81.9444,54.6454,238.547,33.214,0,0,0,0,37.211,8.19444,12.4862,8.25339,21748.9
0.447917,31.172,80.2384,53.2002,233.58,32.5225,0,0,0,0,36.4363,8.02384,12.2263,8.08157,21296.1
0.458333,30.3967,78.6542,51.877,228.969,31.8804,0,0,0,0,35.7169,7.86542,11.9849,7.92201,20875.6
0.46875,29.5291,76.7563,50.3964,223.444,31.1111,0,0,0,0,34.8551,7.67563,11.6957,7.73085,20371.9
0.479167,32.187,83.9696,54.9325,244.442,34.0349,0,0,0,0,38.1306,8.39696,12.7948,8.45737,22286.4
0.489583,32.9404,86.1555,56.2183,250.805,34.9209,0,0,0,0,39.1233,8.61555,13.1279,8.67753,22866.5
0.5,32.7025,85.6474,55.8122,249.326,34.7149,0,0,0,0,38.8926,8.56474,13.0505,8.62636,22731.7
0.510417,31.9727,83.733,54.5667,243.753,33.939,0,0,0,0,38.0232,8.3733,12.7587,8.43354,22223.6
0.520833,30.5361,79.8478,52.1149,232.443,32.3642,0,0,0,0,36.2589,7.98478,12.1667,8.04222,21192.4
0.53125,28.1875,73.4747,48.1067,213.891,29.781,0,0,0,0,33.3649,7.34747,11.1956,7.40033,19500.9
0.541667,29.9933,77.8028,51.1886,226.49,31.5353,0,0,0,0,35.3303,7.78028,11.8551,7.83625,20649.6
0.552083,30.9847,79.8423,52.8806,232.427,32.362,0,0,0,0,36.2564,7.98423,12.1659,8.04167,21190.9
0.5625,28.0675,71.7139,47.9018,208.765,29.0673,0,0,0,0,32.5653,7.17139,10.9273,7.22298,19033.6
0.572917,30.5927,77.3599,52.2115,225.201,31.3558,0,0,0,0,35.1292,7.73599,11.7876,7.79164,20532.1
0.583333,30.6448,76.5472,52.3005,222.835,31.0264,0,0,0,0,34.7602,7.65472,11.6638,7.70979,20316.4
0.59375,31.0441,76.4547,52.9819,222.566,30.9889,0,0,0,0,34.7182,7.64547,11.6497,7.70048,20291.9
0.604167,28.2238,68.4047,48.1687,199.132,27.7261,0,0,0,0,31.0626,6.84047,10.4231,6.88968,18155.3
0.614583,29.0074,69.0619,49.506,201.045,27.9924,0,0,0,0,31.3611,6.90619,10.5232,6.95588,18329.7
0.625,29.3453,68.5137,50.0827,199.449,27.7702,0,0,0,0,31.1121,6.85137,10.4397,6.90066,18184.2
0.635417,28.2453,64.5641,48.2053,187.951,26.1694,0,0,0,0,29.3186,6.45641,9.8379,6.50286,17136
0.645833,32.6091,72.8702,55.6528,212.131,29.536,0,0,0,0,33.0904,7.28702,11.1035,7.33944,19340.5
0.65625,29.2561,63.831,49.9305,185.817,25.8722,0,0,0,0,28.9857,6.3831,9.72619,6.42902,16941.4
0.666667,30.4935,64.8862,52.0422,188.889,26.2999,0,0,0,0,29.4649,6.48862,9.88698,6.5353,17221.4
0.677083,29.6121,61.402,50.5381,178.746,24.8877,0,0,0,0,27.8827,6.1402,9.35608,6.18438,16296.7
0.6875,32.3752,65.3813,55.2537,190.33,26.5006,0,0,0,0,29.6897,6.53813,9.96242,6.58517,17352.9
0.697917,31.9805,62.8865,54.5801,183.068,25.4894,0,0,0,0,28.5568,6.28865,9.58228,6.33389,16690.7
0.708333,30.95,59.2685,52.8214,172.535,24.0229,0,0,0,0,26.9139,5.92685,9.03099,5.96949,15730.5
0.71875,26.6947,49.8096,45.559,145,20.189,0,0,0,0,22.6186,4.98096,7.58969,5.01679,13220
0.729167,30.078,54.7368,51.3332,159.343,22.1861,0,0,0,0,24.856,5.47368,8.34047,5.51306,14527.7
0.739583,31.0255,55.1447,52.9502,160.531,22.3514,0,0,0,0,25.0412,5.51447,8.40262,5.55414,14636
0.75,31.5059,54.7951,53.7701,159.513,22.2098,0,0,0,0,24.8825,5.47951,8.34935,5.51893,14543.2
0.760417,29.0731,49.5921,49.6182,144.367,20.1009,0,0,0,0,22.5198,4.95921,7.55655,4.99489,13162.2
0.770833,32.733,54.9127,55.8643,159.855,22.2574,0,0,0,0,24.9359,5.49127,8.36727,5.53077,14574.4
0.78125,28.0194,46.3742,47.8197,134.999,18.7966,0,0,0,0,21.0585,4.63742,7.06622,4.67078,12308.2
0.791667,29.0077,47.5308,49.5065,138.366,19.2654,0,0,0,0,21.5838,4.75308,7.24247,4.78728,12615.2
0.802083,31.4026,51.1328,53.5937,148.852,20.7253,0,0,0,0,23.2194,5.11328,7.79131,5.15007,13571.2
0.8125,30.0736,48.8536,51.3256,142.217,19.8015,0,0,0,0,22.1845,4.88536,7.44403,4.92051,12966.2
0.822917,33.0036,53.7021,56.3261,156.331,21.7667,0,0,0,0,24.3861,5.37021,8.1828,5.40884,14253.1
0.833333,30.2828,49.5536,51.6826,144.254,20.0852,0,0,0,0,22.5023,4.95536,7.55068,4.99101,13152
0.84375,29.0502,47.9906,49.579,139.705,19.4517,0,0,0,0,21.7926,4.79906,7.31253,4.83359,12737.2
0.854167,29.4337,49.2679,50.2334,143.423,19.9694,0,0,0,0,22.3726,4.92679,7.50715,4.96223,13076.2
0.864583,28.3633,48.2663,48.4067,140.507,19.5635,0,0,0,0,21.9177,4.82663,7.35453,4.86135,12810.4
