# BSM2-style influent (synthesised, not the canonical IWA 609-day file).
# Generated by scripts/generate_bsm2_influent.py at repo setup.
# Profile follows the BSM2 constant-influent composition plus a diurnal
# flow / load pattern and a time-varying temperature T (degC). Replace with
# the official BSM2 file for published comparisons. TSS is omitted (derived).
# Columns: t,SI,SS,XI,XS,XB_H,XB_A,XP,SO,SNO,SNH,SND,XND,SALK,Q,T
t,SI,SS,XI,XS,XB_H,XB_A,XP,SO,SNO,SNH,SND,XND,SALK,Q,T
0,27.4836,60.1422,93.3734,376.242,52.396,0,0,0,0,24.6658,5.84258,16.6749,7.23655,21345.8,11.8522
0.0104167,26.5146,59.3066,90.0813,371.015,51.6681,0,0,0,0,24.3231,5.76142,16.4432,7.13602,21049.2,11.8838
0.0208333,26.6639,60.8566,90.5886,380.712,53.0184,0,0,0,0,24.9588,5.91199,16.873,7.32251,21599.3,11.9159
0.03125,23.9026,55.5649,81.2073,347.608,48.4084,0,0,0,0,22.7886,5.39793,15.4058,6.6858,19721.2,11.9483
0.0416667,29.6762,70.1306,100.823,438.729,61.098,0,0,0,0,28.7623,6.81292,19.4442,8.4384,24890.9,11.981
0.0520833,28.7838,69.0145,97.7907,431.747,60.1257,0,0,0,0,28.3046,6.7045,19.1348,8.30411,24494.8,12.0138
0.0625,26.7832,65.0257,90.9939,406.793,56.6506,0,0,0,0,26.6686,6.317,18.0289,7.82416,23079,12.0466
0.0729167,28.2796,69.3838,96.0778,434.057,60.4474,0,0,0,0,28.456,6.74038,19.2372,8.34854,24625.8,12.0791
0.0833333,27.609,68.3183,93.7996,427.391,59.5191,0,0,0,0,28.019,6.63687,18.9418,8.22034,24247.6,12.1114
0.09375,26.4723,65.9373,89.9376,412.496,57.4448,0,0,0,0,27.0425,6.40556,18.2816,7.93385,23402.6,12.1432
0.104167,28.557,71.4629,97.0202,447.064,62.2587,0,0,0,0,29.3087,6.94235,19.8136,8.59871,25363.7,12.1744
0.114583,26.8034,67.2655,91.0627,420.805,58.6019,0,0,0,0,27.5873,6.53459,18.6499,8.09366,23874,12.2048
0.125,26.7786,67.2768,90.9782,420.876,58.6117,0,0,0,0,27.5919,6.53569,18.653,8.09502,23878,12.2345
0.135417,26.1478,65.6563,88.8354,410.738,57.1999,0,0,0,0,26.9273,6.37826,18.2037,7.90003,23302.8,12.2631
0.145833,27.8455,69.7745,94.6032,436.501,60.7878,0,0,0,0,28.6162,6.77833,19.3455,8.39555,24764.5,12.2906
0.15625,27.0912,67.6497,92.0402,423.209,58.9367,0,0,0,0,27.7448,6.57192,18.7564,8.13989,24010.4,12.3169
0.166667,27.9685,69.513,95.0209,434.865,60.5599,0,0,0,0,28.509,6.75293,19.273,8.36409,24671.7,12.3419
0.177083,26.3996,65.2356,89.6908,408.106,56.8334,0,0,0,0,26.7547,6.33739,18.0871,7.84941,23153.5,12.3654
0.1875,27.3989,67.2537,93.0856,420.731,58.5916,0,0,0,0,27.5824,6.53344,18.6466,8.09224,23869.8,12.3874
0.197917,26.0115,63.3775,88.3723,396.482,55.2147,0,0,0,0,25.9927,6.15689,17.5719,7.62584,22494.1,12.4078
0.208333,28.3717,68.5823,96.3907,429.043,59.7491,0,0,0,0,28.1273,6.66251,19.015,8.2521,24341.3,12.4264
0.21875,27.4822,65.8862,93.3687,412.177,57.4003,0,0,0,0,27.0216,6.4006,18.2675,7.9277,23384.5,12.4433
0.229167,27.6762,65.7984,94.0279,411.627,57.3238,0,0,0,0,26.9856,6.39207,18.2431,7.91713,23353.3,12.4583
0.239583,27.785,65.512,94.3976,409.836,57.0743,0,0,0,0,26.8681,6.36425,18.1637,7.88268,23251.6,12.4713
0.25,25.8502,60.4644,87.8243,378.258,52.6768,0,0,0,0,24.798,5.87389,16.7642,7.27533,21460.1,12.4824
0.260417,28.2924,65.6804,96.1212,410.889,57.221,0,0,0,0,26.9372,6.38061,18.2104,7.90294,23311.4,12.4914
0.270833,30.026,69.2277,102.011,433.08,60.3114,0,0,0,0,28.392,6.72521,19.1939,8.32976,24570.4,12.4984
0.28125,24.9958,57.282,84.9213,358.349,49.9042,0,0,0,0,23.4927,5.56473,15.8819,6.8924,20330.6,12.5033
0.291667,24.8719,56.708,84.5006,354.758,49.4042,0,0,0,0,23.2573,5.50897,15.7227,6.82334,20126.9,12.5061
0.302083,25.1777,57.1737,85.5392,357.672,49.8099,0,0,0,0,23.4484,5.55421,15.8518,6.87938,20292.2,12.5067
