case,species,series,time_h,value
calibration,sulfide,measured,0.0,9.0
calibration,sulfide,measured,0.166667,3.0
calibration,sulfide,measured,0.333333,1.0
calibration,sulfide,measured,0.5,0.9
calibration,sulfide,measured,1.0,0.35
calibration,sulfide,measured,2.0,0.0
calibration,sulfide,measured,2.166667,0.06
calibration,sulfide,measured,2.5,0.0
calibration,sulfide,measured,3.0,0.8
calibration,sulfide,measured,4.0,2.25
calibration,sulfide,measured,4.166667,2.75
calibration,sulfide,model,0.0,9.0
calibration,sulfide,model,7.8e-05,8.997422
calibration,sulfide,model,0.00047,8.984537
calibration,sulfide,model,0.001859,8.938851
calibration,sulfide,model,0.003503,8.88485
calibration,sulfide,model,0.005566,8.817186
calibration,sulfide,model,0.008139,8.73297
calibration,sulfide,model,0.011345,8.62826
calibration,sulfide,model,0.015373,8.497116
calibration,sulfide,model,0.020721,8.323649
calibration,sulfide,model,0.027874,8.09296
calibration,sulfide,model,0.037551,7.783242
calibration,sulfide,model,0.050813,7.363528
calibration,sulfide,model,0.069249,6.789715
calibration,sulfide,model,0.095322,5.999354
calibration,sulfide,model,0.133189,4.902612
calibration,sulfide,model,0.180688,3.632313
calibration,sulfide,model,0.220809,2.675346
calibration,sulfide,model,0.254377,1.976562
calibration,sulfide,model,0.282791,1.47036
calibration,sulfide,model,0.307277,1.103272
calibration,sulfide,model,0.328892,0.834384
calibration,sulfide,model,0.348494,0.63452
calibration,sulfide,model,0.366734,0.483812
calibration,sulfide,model,0.384102,0.368859
calibration,sulfide,model,0.400965,0.28048
calibration,sulfide,model,0.417613,0.212229
calibration,sulfide,model,0.434286,0.159455
calibration,sulfide,model,0.451189,0.118712
calibration,sulfide,model,0.468509,0.087391
calibration,sulfide,model,0.486426,0.063478
calibration,sulfide,model,0.505118,0.04539
calibration,sulfide,model,0.524772,0.031872
calibration,sulfide,model,0.54559,0.021916
calibration,sulfide,model,0.567797,0.014712
calibration,sulfide,model,0.591655,0.009608
calibration,sulfide,model,0.617471,0.006081
calibration,sulfide,model,0.645622,0.003714
calibration,sulfide,model,0.676573,0.002181
calibration,sulfide,model,0.710923,0.001229
calibration,sulfide,model,0.749453,0.000712
calibration,sulfide,model,0.79139,0.000495
calibration,sulfide,model,0.845348,0.000365
calibration,sulfide,model,0.932056,0.000269
calibration,sulfide,model,1.016695,0.000226
calibration,sulfide,model,1.094589,0.000207
calibration,sulfide,model,1.165751,0.0002
calibration,sulfide,model,1.230817,0.000206
calibration,sulfide,model,1.290431,0.000235
calibration,sulfide,model,1.34522,0.000281
calibration,sulfide,model,1.395726,0.000341
calibration,sulfide,model,1.442398,0.000419
calibration,sulfide,model,1.485627,0.000518
calibration,sulfide,model,1.525756,0.000643
calibration,sulfide,model,1.563089,0.000801
calibration,sulfide,model,1.597883,0.000999
calibration,sulfide,model,1.630315,0.001246
calibration,sulfide,model,1.660642,0.001554
calibration,sulfide,model,1.689108,0.001934
calibration,sulfide,model,1.71595,0.002405
calibration,sulfide,model,1.741401,0.002988
calibration,sulfide,model,1.765691,0.003709
calibration,sulfide,model,1.789051,0.004604
calibration,sulfide,model,1.811708,0.00572
calibration,sulfide,model,1.833886,0.00712
calibration,sulfide,model,1.855804,0.00889
calibration,sulfide,model,1.877676,0.011144
calibration,sulfide,model,1.899711,0.014038
calibration,sulfide,model,1.922115,0.017784
calibration,sulfide,model,1.945093,0.022661
calibration,sulfide,model,1.968857,0.029038
calibration,sulfide,model,1.993625,0.037389
calibration,sulfide,model,2.019629,0.048292
calibration,sulfide,model,2.046915,0.062303
calibration,sulfide,model,2.072921,0.078191
calibration,sulfide,model,2.098628,0.096264
calibration,sulfide,model,2.124546,0.116683
calibration,sulfide,model,2.151019,0.139526
calibration,sulfide,model,2.178328,0.164835
calibration,sulfide,model,2.206733,0.192643
calibration,sulfide,model,2.236493,0.222984
calibration,sulfide,model,2.267951,0.25588
calibration,sulfide,model,2.300482,0.290384
calibration,sulfide,model,2.336111,0.328498
calibration,sulfide,model,2.374207,0.369472
calibration,sulfide,model,2.415429,0.413952
calibration,sulfide,model,2.460379,0.462538
calibration,sulfide,model,2.509831,0.516022
calibration,sulfide,model,2.564818,0.575466
calibration,sulfide,model,2.626799,0.642379
calibration,sulfide,model,2.698053,0.719129
calibration,sulfide,model,2.782919,0.810229
calibration,sulfide,model,2.878919,0.912809
calibration,sulfide,model,2.974919,1.014832
calibration,sulfide,model,3.070919,1.116255
calibration,sulfide,model,3.166919,1.217045
calibration,sulfide,model,3.262919,1.317172
calibration,sulfide,model,3.358919,1.416613
calibration,sulfide,model,3.454919,1.515347
calibration,sulfide,model,3.550919,1.613355
calibration,sulfide,model,3.646919,1.710617
calibration,sulfide,model,3.742919,1.807116
calibration,sulfide,model,3.838919,1.902837
calibration,sulfide,model,3.934919,1.997762
calibration,sulfide,model,4.030919,2.091877
calibration,sulfide,model,4.126919,2.185167
calibration,sulfide,model,4.222919,2.277617
calibration,sulfide,model,4.318919,2.369211
calibration,sulfide,model,4.414919,2.459937
calibration,sulfide,model,4.510919,2.54978
calibration,sulfide,model,4.606919,2.638726
calibration,sulfide,model,4.702919,2.726761
calibration,sulfide,model,4.798919,2.813873
calibration,sulfide,model,4.8,2.814848
calibration,sulfate,measured,0.0,3.666667
calibration,sulfate,measured,0.166667,2.666667
calibration,sulfate,measured,0.333333,7.0
calibration,sulfate,measured,0.5,7.666667
calibration,sulfate,measured,1.0,10.333333
calibration,sulfate,measured,2.0,19.333333
calibration,sulfate,measured,2.166667,21.0
calibration,sulfate,measured,2.5,23.0
calibration,sulfate,measured,3.0,22.5
calibration,sulfate,measured,4.0,17.333333
calibration,sulfate,measured,4.166667,16.5
calibration,sulfate,model,0.0,4.0
calibration,sulfate,model,0.166667,5.88507
calibration,sulfate,model,0.333333,7.745174
calibration,sulfate,model,0.5,9.565002
calibration,sulfate,model,0.666667,11.330348
calibration,sulfate,model,0.833333,13.028079
calibration,sulfate,model,1.0,14.643349
calibration,sulfate,model,1.166667,16.158113
